symbol,description,pointsize,currency,asset_class,per_block,percentage,per_trade,region,tradable
30YRCONF,ICE U.S. Conforming 30-year Fixed Mortgage Rate Lock Weighted APR,5000.0,USD,Bond,0.0,0.0,0,US,False
30YRJUMBO,ICE U.S.Jumbo 30-year Fixed Mortgage Rate Lock Weighted APR,5000.0,USD,Bond,0.0,0.0,0,US,False
AEX,Netherlands equity index AEX,200.0,EUR,Equity,2.8,0.0,0,EMEA,True
AEX_mini,AEX mini,20.0,EUR,Equity,0.55,0.0,0,EMEA,False
ALUMINIUM,NYMEX Aluminum Index,25.0,USD,Metals,3.37,0.0,0,US,True
ALUMINIUM_LME,High-Grade Primary Aluminium,25.0,USD,Metals,1.05,0.0,0,EMEA,False
AMERIBOR-1M,CBOE One-Month AMERIBOR Average Rate Index,50.0,USD,STIR,0.0,0.0,0,US,False
AMERIBOR-3M,CBOE AMERIBOR Term-90,25.0,USD,STIR,0.0,0.0,0,US,False
AMERIBOR-T30,Cboe AMERIBOR Term-30 Futures Index,25.0,USD,STIR,0.0,0.0,0,US,False
AMX,AMX INDEX,50.0,EUR,Equity,0.0,0.0,0,EMEA,False
ASX,Australian equity index ASX200,25.0,AUD,Equity,0.0,0.0,0,ASIA,False
ATX,ATX - Austrian Traded Index - DTB,10.0,EUR,Equity,0.0,0.0,0,EMEA,False
AUD,AUDUSD currency,100000.0,USD,FX,2.47,0.0,0,US,True
AUD_micro,AUDUSD micro,10000.0,USD,FX,0.41,0.0,0,US,False
AUD-ICE,AUD.USD,100000.0,USD,FX,0.0,0.0,0,US,False
AUD-SGX,SGX Australian Dollar in US Dollar Futures,25000.0,USD,FX,2.85,0.0,0,ASIA,False
AUDCAD,Australlian dollar CAD,200000.0,CAD,FX,0.0,0.0,0,US,False
AUDJPY,Australlian dollar Yen CME,200000.0,JPY,FX,329.4,0.0,0,US,True
AUDJPY-SGX,SGX Australian Dollar in Japanese Yen Futures,25000.0,JPY,FX,285.0,0.0,0,ASIA,False
AUSCASH,30 Day Interbank Cash Rate,2466.0,AUD,STIR,4.5,0.0,0,ASIA,False
BARLEY,Barley Futures (ASX),20.0,AUD,Ags,0.0,0.0,0,ASIA,False
BB3M,Three-Month Bloomberg Short-Term Bank Yield,2500.0,USD,Bond,2.12,0.0,0,US,True
BBCOMM,Bloomberg Commodity Index,100.0,USD,Ags,1.87,0.0,0,US,True
BEL20,BEL 20 Index (BFX@),10.0,EUR,Equity,4.5,0.0,0,EMEA,False
BITCOIN,Micro Bitcoin,0.1,USD,Metals,3.27,0.0,0,US,True
BITCOIN-BAKKT,Bakkt Bitcoin,1.0,USD,Metals,0.0,0.0,0,US,False
BOBL,German 5 year bond Bobl,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
BONO,ES 10 year bonds,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
BONO-MEFF,10 Year Government Bond,1000.0,EUR,Bond,0.0,0.0,0,EMEA,False
BONO10,10 Year Bond,1000.0,MXP,Bond,0.0,0.0,0,US,False
BONO3,3 Year Bond,1000.0,MXP,Bond,0.0,0.0,0,US,False
BOVESPA,Bovespa Index - USD,1.0,USD,Equity,0.85,0.0,0,US,True
BOVESPA-HK,Brazil Bovespa Stock Index HK,5.0,HKD,Equity,0.0,0.0,0,ASIA,False
BRE,BREUSD currency,100000.0,USD,FX,2.47,0.0,0,US,True
BRENT,NYMEX Brent Financial Futures Index,1000.0,USD,OilGas,0.85,0.0,0,US,False
BRENT_W,Brent crude summer,1000.0,USD,OilGas,1.05,0.0,0,EMEA,False
BRENT-LAST,Brent Crude Oil - Last Day,1000.0,USD,OilGas,2.37,0.0,0,US,True
BRR,CME CF Bitcoin Reference Rate,5.0,USD,Metals,0.0,0.0,0,US,False
BRREUR,CME CF Bitcoin-Euro Reference Rate,5.0,EUR,Metals,0.0,0.0,0,US,False
BTP,Italian 10 year bond BTP,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
BTP3,Short-Term Euro-BTP Italian Government Bond,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
BTP5,Mid-Term Euro-BTP Italian Government Bond,1000.0,EUR,Bond,0.0,0.0,0,EMEA,False
BUND,German 10 year bond Bund,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
BUTTER,CME Cash-Settled Butter Futures,200.0,USD,Ags,2.97,0.0,0,US,True
BUXL,German Buxl 15 to 30 year bond,1000.0,EUR,Bond,2.0,0.0,0,EMEA,True
CAC,French equity index CAC40,10.0,EUR,Equity,2.0,0.0,0,EMEA,True
CAD,CADUSD currency,100000.0,USD,FX,2.47,0.0,0,US,True
CAD_micro,CADUSD_micro,10000.0,USD,FX,0.41,0.0,0,US,False
CAD10,Canadian 10 year bond,1000.0,CAD,Bond,2.4,0.0,0,US,False
CAD2,Canadian 2 year bond,1000.0,CAD,Bond,2.4,0.0,0,US,False
CAD5,Canadian 5 year bond,1000.0,CAD,Bond,2.4,0.0,0,US,False
CADJPY,CAD.JPY,200000.0,JPY,FX,0.0,0.0,0,US,False
CADJPY2,CAD.JPY,200000.0,JPY,FX,0.0,0.0,0,US,False
CADSTIR,Canadian STIR Bank acceptance,2500.0,CAD,STIR,2.0,0.0,0,US,False
CAN-ENERGY,S&P TSE CAN Energy Index,200.0,CAD,Sector,0.0,0.0,0,US,False
CAN-FINANCE,S&P TSE CAN Financials Index,200.0,CAD,Sector,0.0,0.0,0,US,False
CAN-GOLD,S&P TSE CAN Gold Index,200.0,CAD,Sector,0.0,0.0,0,US,False
CAN-TECH,S&P TSE CAN Info Tech Index,500.0,CAD,Sector,0.0,0.0,0,US,False
CANNABIS_small,Small Cannabis,100.0,USD,Ags,0.0,0.0,0,US,False
CANOLA,Rapeseed (Canola) in CAD,20.0,CAD,Ags,2.4,0.0,0,US,False
CETES,91 Day Treasury Bill,1000.0,MXP,STIR,0.0,0.0,0,US,False
