time,current_contract,next_contract,carry_contract,symbol
2009-09-17 23:00:00,20090900,20091000,20091000,AEX
2009-10-19 23:00:00,20091000,20091100,20091100,AEX
2009-11-18 23:00:00,20091100,20091200,20091200,AEX
2009-12-17 23:00:00,20091200,20100100,20100100,AEX
2010-01-18 23:00:00,20100100,20100200,20100200,AEX
2010-02-17 23:00:00,20100200,20100300,20100300,AEX
2010-03-17 23:00:00,20100300,20100400,20100400,AEX
2010-04-19 23:00:00,20100400,20100500,20100500,AEX
2010-05-18 23:00:00,20100500,20100600,20100600,AEX
2010-06-17 23:00:00,20100600,20100700,20100700,AEX
2010-07-19 23:00:00,20100700,20100800,20100800,AEX
2010-08-18 23:00:00,20100800,20100900,20100900,AEX
2010-09-17 23:00:00,20100900,20101000,20101000,AEX
2010-10-18 23:00:00,20101000,20101100,20101100,AEX
2010-11-17 23:00:00,20101100,20101200,20101200,AEX
2010-12-17 23:00:00,20101200,20110100,20110100,AEX
2011-01-18 23:00:00,20110100,20110200,20110200,AEX
2011-02-17 23:00:00,20110200,20110300,20110300,AEX
2011-03-17 23:00:00,20110300,20110400,20110400,AEX
2011-04-19 23:00:00,20110400,20110500,20110500,AEX
2011-05-26 07:00:00,20110500,20110600,20110600,AEX
2011-06-15 09:00:00,20110600,20110700,20110700,AEX
2011-07-15 08:30:00,20110700,20110800,20110800,AEX
2011-08-15 08:15:00,20110800,20110900,20110900,AEX
2011-09-15 07:30:00,20110900,20111000,20111000,AEX
2011-10-14 08:15:00,20111000,20111100,20111100,AEX
2011-11-15 07:30:00,20111100,20111200,20111200,AEX
2011-12-15 07:30:00,20111200,20120100,20120100,AEX
2012-01-16 08:30:00,20120100,20120200,20120200,AEX
2012-02-15 07:30:00,20120200,20120300,20120300,AEX
2012-03-15 08:30:00,20120300,20120400,20120400,AEX
2012-04-16 07:45:00,20120400,20120500,20120500,AEX
2012-05-15 07:30:00,20120500,20120600,20120600,AEX
2012-06-15 07:30:00,20120600,20120700,20120700,AEX
2012-07-16 07:45:00,20120700,20120800,20120800,AEX
2012-08-15 07:30:00,20120800,20120900,20120900,AEX
2012-09-14 08:00:00,20120900,20121000,20121000,AEX
2012-10-15 08:30:00,20121000,20121100,20121100,AEX
2012-11-15 07:30:00,20121100,20121200,20121200,AEX
2012-12-14 07:45:00,20121200,20130100,20130100,AEX
2013-01-15 07:45:00,20130100,20130200,20130200,AEX
2013-02-15 07:30:00,20130200,20130300,20130300,AEX
2013-03-15 08:30:00,20130300,20130400,20130400,AEX
2013-04-15 08:15:00,20130400,20130500,20130500,AEX
2013-05-15 07:30:00,20130500,20130600,20130600,AEX
2013-06-14 07:30:00,20130600,20130700,20130700,AEX
2013-07-15 08:15:00,20130700,20130800,20130800,AEX
2013-08-15 09:00:00,20130800,20130900,20130900,AEX
2013-09-20 23:00:00,20130900,20131000,20131000,AEX
2013-10-17 23:00:00,20131000,20131100,20131100,AEX
2013-11-15 10:02:15,20131100,20131200,20131200,AEX
2013-12-18 10:00:17,20131200,20140100,20140100,AEX
2014-01-17 10:00:18,20140100,20140200,20140200,AEX
2014-02-18 10:05:25,20140200,20140300,20140300,AEX
2014-03-14 23:00:00,20140300,20140400,20140400,AEX
2014-04-17 08:02:36,20140400,20140500,20140500,AEX
2014-05-16 08:09:54,20140500,20140600,20140600,AEX
2014-06-18 23:00:00,20140600,20140700,20140700,AEX
2014-07-17 08:28:46,20140700,20140800,20140800,AEX
2014-08-15 08:54:06,20140800,20140900,20140900,AEX
2014-09-17 23:00:00,20140900,20141000,20141000,AEX
2014-10-16 23:00:00,20141000,20141100,20141100,AEX
2014-11-18 23:00:00,20141100,20141200,20141200,AEX
2014-12-17 23:00:00,20141200,20150100,20150100,AEX
2015-01-19 08:05:18,20150100,20150200,20150200,AEX
2015-02-18 13:51:04,20150200,20150300,20150300,AEX
2015-03-18 08:01:34,20150300,20150400,20150400,AEX
2015-04-17 08:02:17,20150400,20150500,20150500,AEX
2015-05-15 08:01:53,20150500,20150600,20150600,AEX
2015-06-17 08:03:13,20150600,20150700,20150700,AEX
2015-07-17 08:01:18,20150700,20150800,20150800,AEX
2015-08-18 08:01:25,20150800,20150900,20150900,AEX
2015-09-17 08:01:27,20150900,20151000,20151000,AEX
2015-10-16 08:01:35,20151000,20151100,20151100,AEX
2015-11-18 08:01:51,20151100,20151200,20151200,AEX
2015-12-17 10:02:16,20151200,20160100,20160100,AEX
2016-01-15 08:01:29,20160100,20160200,20160200,AEX
2016-02-17 23:00:00,20160200,20160300,20160300,AEX
2016-03-17 08:01:34,20160300,20160400,20160400,AEX
2016-04-15 08:36:58,20160400,20160500,20160500,AEX
2016-05-18 08:01:32,20160500,20160600,20160600,AEX
2016-06-17 08:19:01,20160600,20160700,20160700,AEX
2016-07-15 08:17:44,20160700,20160800,20160800,AEX
2016-08-17 23:00:00,20160800,20160900,20160900,AEX
2016-09-16 08:15:15,20160900,20161000,20161000,AEX
2016-10-18 08:02:29,20161000,20161100,20161100,AEX
2016-11-17 14:13:19,20161100,20161200,20161200,AEX
2016-12-16 11:04:11,20161200,20170100,20170100,AEX
2017-01-18 23:00:00,20170100,20170200,20170200,AEX
2017-02-17 23:00:00,20170200,20170300,20170300,AEX
2017-03-17 09:10:11,20170300,20170400,20170400,AEX
2017-04-19 08:01:56,20170400,20170500,20170500,AEX
2017-05-17 10:32:28,20170500,20170600,20170600,AEX
2017-06-16 10:11:56,20170600,20170700,20170700,AEX
2017-07-18 23:00:00,20170700,20170800,20170800,AEX
2017-08-17 11:23:00,20170800,20170900,20170900,AEX
2017-09-15 10:26:04,20170900,20171000,20171000,AEX
2017-10-17 23:00:00,20171000,20171100,20171100,AEX
2017-11-17 08:01:50,20171100,20171200,20171200,AEX
2017-12-15 08:01:43,20171200,20180100,20180100,AEX
2018-01-17 23:00:00,20180100,20180200,20180200,AEX
2018-02-16 08:06:54,20180200,20180300,20180300,AEX
2018-03-16 10:45:05,20180300,20180400,20180400,AEX
2018-04-18 23:00:00,20180400,20180500,20180500,AEX
2018-05-17 08:01:49,20180500,20180600,20180600,AEX
2018-06-15 07:00:00,20180600,20180700,20180700,AEX
2018-07-16 09:15:00,20180700,20180800,20180800,AEX
2018-08-15 07:30:00,20180800,20180900,20180900,AEX
2018-09-14 09:00:00,20180900,20181000,20181000,AEX
2018-10-15 09:00:00,20181000,20181100,20181100,AEX
2018-11-15 09:00:00,20181100,20181200,20181200,AEX
2018-12-14 08:15:00,20181200,20190100,20190100,AEX
2019-01-15 07:30:00,20190100,20190200,20190200,AEX
2019-02-15 09:00:00,20190200,20190300,20190300,AEX
2019-03-15 10:00:00,20190300,20190400,20190400,AEX
2019-04-15 09:00:00,20190400,20190500,20190500,AEX
